xValue contrib
2.0607e+06 7.0181e+06
2.737e+06 7.9231e+06
2.6235e+06 9.034e+06
2.5233e+06 8.1714e+06
2.7632e+06 8.4004e+06
2.7679e+06 8.4356e+06
2.2708e+06 5.901e+06
2.1982e+06 6.1862e+06
2.1447e+06 6.7942e+06
2.3371e+06 7.2305e+06
2.4065e+06 7.2744e+06
2.5955e+06 8.133e+06
2.6881e+06 8.4194e+06
2.5319e+06 7.8437e+06
2.4828e+06 8.0263e+06
2.4333e+06 7.9358e+06
2.5347e+06 8.4487e+06
2.6525e+06 9.3701e+06
